Unnamed: 0,Timestamp,SLPR7:Voltage A:Angle,SLPR7:Voltage B:Angle,SLPR7:Voltage C:Angle,RAICHUR 400 KV:Frequency,SLPR7:Frequency,Raichur-SLPR1(MVAR):Analog,SLPR-RACHR1 (MVAR):Analog,RACHR-SLPR1-7 Va:Voltage A:Magnitude,RACHR-SLPR1-7 Vb:Voltage B:Magnitude,RACHR-SLPR1-7 Vc:Voltage C:Magnitude,SLPR7:Voltage A:Magnitude,SLPR7:Voltage B:Magnitude,SLPR7:Voltage C:Magnitude,Raichur-SLPR1(MW):Analog,SLPR-RACHR1 (MW):Analog,anomaly,deviation
21242,2014/12/20 05:44:05.200,22.2294,-98.3837,141.595,49.9563,49.9568,-20115880.0,-232765344.0,443412.5313,445608.6563,442101.6875,432213.2188,433188.3125,431450.4063,-184798928.0,186647104.0,1,29.414694353948864
21255,2014/12/20 05:44:05.720,14.1239,-106.4862,133.4894,49.9563,49.9564,-18192980.0,-233694464.0,443294.9688,445469.9375,441968.6563,432059.2188,433024.3125,431304.0625,-191741888.0,192847936.0,1,29.410459975702985
21243,2014/12/20 05:44:05.240,21.6079,-99.0043,140.9722,49.9566,49.9568,-19722056.0,-232833776.0,443401.1563,445598.0,442091.9375,432193.9375,433182.5625,431444.0625,-185281152.0,186897104.0,1,29.407079216043925
21239,2014/12/20 05:44:05.080,24.0903,-96.5229,143.4556,49.9569,49.9569,-19590832.0,-232504336.0,443423.5,445619.2188,442108.375,432238.5,433218.9688,431480.0938,-182908928.0,185563792.0,1,29.37601514190295
21244,2014/12/20 05:44:05.280,20.9817,-99.631,140.3469,49.9567,49.9568,-19423880.0,-232863952.0,443389.7188,445582.0938,442074.5938,432177.125,433156.1563,431418.625,-185786096.0,187275952.0,1,29.371676052248752
21358,2014/12/20 05:44:09.840,-49.2145,-169.8274,70.1507,49.9573,49.958,-17149728.0,-234025120.0,443200.9688,445354.5625,441842.5,431965.5,432892.625,431153.3125,-201513312.0,202598944.0,1,29.366745825864804
21240,2014/12/20 05:44:05.120,23.4698,-97.1428,142.8356,49.9569,49.9568,-20070392.0,-232562080.0,443422.5938,445618.3125,442109.2188,432234.875,433211.4375,431477.875,-183641312.0,185973024.0,1,29.361531421741127
21241,2014/12/20 05:44:05.160,22.8489,-97.7645,142.2156,49.9565,49.9568,-20120118.0,-232645568.0,443420.125,445614.6563,442106.4688,432228.5313,433194.1875,431459.9688,-184259296.0,186347088.0,1,29.354988442702517
21256,2014/12/20 05:44:05.760,13.4957,-107.115,132.8623,49.9561,49.9565,-18690088.0,-233774432.0,443287.0938,445449.9688,441962.4063,432050.8125,433002.2813,431283.875,-192181296.0,193487040.0,1,29.31783584384109
21238,2014/12/20 05:44:05.040,24.7122,-95.9025,144.0769,49.9569,49.957,-19120116.0,-232458736.0,443426.7188,445623.9375,442111.1563,432241.0,433221.2188,431471.5625,-182377952.0,185280816.0,1,29.30425801235487
